Timestamp,Band name:,location,Band Instagram handle:,Instagram Follower count:,Spotify monthly listeners,Shows played in the past year,Primary Genre,Secondary Genre,Tertiary Genre
3/15/2025 16:36:23,Sego,Provo,@sego,8100,30000,Very active,Indie Rock,Indie Pop,Psychedelic
3/15/2025 16:40:06,Cardinal Bloom,Provo,@cardinalbloom official,8900,180000,Very active,Indie Rock,Alternative Rock,Indie Pop
3/15/2025 16:43:47,Over Under,Salt Lake City,@overunderband,5200,14700,Very active,Indie Rock,Alternative Rock,Shoegaze
3/15/2025 16:46:54,Hurtado,Salt Lake City,@hurtadoslc,3100,1500,Very active,Indie Rock,Indie Pop,Bedroom-Pop
3/15/2025 16:50:03,Poolhouse,Salt Lake City,@poolhouseband,5200,3700,Very active,Indie Pop,Bedroom-Pop,Indie Rock
3/15/2025 16:53:36,Hatchback,Logan,@thehatchbackband,876,3200,Medium,Folk,Bluegrass,Singer-Songwriter
3/15/2025 16:56:42,Bad Luck Brigade,Logan,@badluckbrigade,1400,846,Medium,R&B,Hip Hop/Rap,Funk
3/15/2025 17:03:29,Dad Bod,Salt Lake City,@officialdadbod,4200,8300,Medium,Indie Rock,Surf-Rock,Bedroom-Pop
3/15/2025 17:06:06,Chruch Ball,Logan,@churchballband,361,19,Medium,Midwest Emo,Shoegaze,Emo
3/15/2025 17:08:36,Antique Loft,Logan,@antique_loft,1100,101,Medium,Shoegaze,Ambient,Slowcore
3/15/2025 17:11:10,Garden Drive,Logan,@gardendrive.jpeg,460,264,Medium,Indie Pop,Indie Rock,Bedroom-Pop
3/15/2025 17:14:48,kin,Logan,@k.i.n.music,354,4200,Medium,Singer-Songwriter,Pop,Dream-Pop
3/15/2025 17:17:06,Tucker Thomas,Logan,@tuckerthomas17,850,1200,Medium,Singer-Songwriter,Pop,
3/15/2025 17:19:14,Swetha,Logan,@_swethabharat,1900,0,Medium,Singer-Songwriter,Pop,Folk
3/15/2025 17:20:51,Nicole Cannan,Salt Lake City,@nicolecannan,1800,566,Medium,Dream-Pop,Indie Rock,Indie Pop
3/15/2025 17:22:45,Curled Died Bathroom ,Salt Lake City,@N/A,0,10,Inactive,Industrial,Noise,Punk Rock
3/15/2025 17:30:33,Indigo Waves ,Orem,@indigowavesband,4700,327000,Very active,Synth-Pop,Indie Rock,Dream-Pop
3/15/2025 17:32:18,Saemore,Orem,@saemoreofficial,1100,274,Medium,Country,Folk,Singer-Songwriter
3/15/2025 17:39:53,Dustdust,Logan,@dustdust.music,311,50,Very active,Slowcore,Shoegaze,Emo
3/15/2025 18:07:50,Sammy Brue,Ogden,@sammybrue,9600,21800,Medium,Folk,Blues,Singer-Songwriter
3/15/2025 18:10:25,Kongo & the Company,Ogden,@kongoandco,950,0,Medium,Folk,Blues,Bluegrass
3/15/2025 18:28:16,Tomper,Orem,@tomperband,1000,2500,Very active,Synth-Pop,Soul,Funk
3/15/2025 18:32:28,Del Pero,Ogden,@delperoband,2100,3300,Very active,Indie Pop,Synth-Pop,Indie Pop
3/15/2025 18:35:56,Kid Presentable,Orem,@_kidpresentable,850,0,Medium,Ska,Pop-Punk,Surf-Rock
3/15/2025 18:39:28,Three Mile Theory,Orem,@threemiletheory,303,60,Very active,Alternative Rock,Pop,Pop-Punk
3/15/2025 18:42:32,Cactus Tree,Ogden,@cactustree,2600,12200,Very active,Pop,Singer-Songwriter,Folk